bias,fit_diagnostics,fit_groups,mae,method,n,n_shots,normalized_rmse,raw_rmse,ridge_alpha,ridge_validation_rmse,seed,source,test_groups,validation_groups
-58.84251403808594,,"['1', '2']",63.56250762939453,transfer_ensemble,281,2,0.31850203616911593,85.67704772949219,,,,ims,['5'],['4']
-76.66535186767578,,"['1', '2']",81.202392578125,frozen_encoder_ensemble,281,2,0.3898912167460502,104.8807373046875,,,,ims,['5'],['4']
-57.162776947021484,,"['1', '2']",61.42215347290039,scratch_ensemble,281,2,0.3069109438077225,82.55904388427734,,,,ims,['5'],['4']
6.265874862670898,,"['1', '2']",6.549773216247559,ridge_ensemble,281,2,0.03235068906195545,8.702335357666016,,,,ims,['5'],['4']
-23.15764045715332,"{'best_validation_normalized_rmse': 0.22777286171913147, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 3042}","['1', '2', '3']",35.07673263549805,transfer,281,3,0.18343425594741083,49.343814849853516,,,42,ims,['5'],['4']
-27.095993041992188,"{'best_validation_normalized_rmse': 0.2518587112426758, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 3123}","['1', '2', '3']",34.76723098754883,transfer,281,3,0.19395975729789874,52.175174713134766,,,123,ims,['5'],['4']
-39.577911376953125,"{'best_validation_normalized_rmse': 0.30982691049575806, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 3042}","['1', '2', '3']",55.02698516845703,frozen_encoder,281,3,0.2638763087389637,70.98272705078125,,,42,ims,['5'],['4']
-38.65825271606445,"{'best_validation_normalized_rmse': 0.31206533312797546, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 3123}","['1', '2', '3']",51.57175064086914,frozen_encoder,281,3,0.25597492203836547,68.85725402832031,,,123,ims,['5'],['4']
-33.788394927978516,"{'best_validation_normalized_rmse': 0.29748213291168213, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 3042}","['1', '2', '3']",47.7359504699707,scratch,281,3,0.24462207099318947,65.80333709716797,,,42,ims,['5'],['4']
-21.54676055908203,"{'best_validation_normalized_rmse': 0.2328767329454422, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 3123}","['1', '2', '3']",32.46087646484375,scratch,281,3,0.17700141424583238,47.613380432128906,,,123,ims,['5'],['4']
5.340639591217041,,"['1', '2', '3']",5.3681440353393555,ridge,281,3,0.025154120860046612,6.766458511352539,0.001,3.7536375522613525,,ims,['5'],['4']
-25.12681770324707,,"['1', '2', '3']",33.88481140136719,transfer_ensemble,281,3,0.18805009636294,50.58547592163086,,,,ims,['5'],['4']
-39.11808395385742,,"['1', '2', '3']",53.200382232666016,frozen_encoder_ensemble,281,3,0.2597669296548269,69.87730407714844,,,,ims,['5'],['4']
-27.667579650878906,,"['1', '2', '3']",39.52724075317383,scratch_ensemble,281,3,0.2097101317905582,56.412025451660156,,,,ims,['5'],['4']
5.340639591217041,,"['1', '2', '3']",5.3681440353393555,ridge_ensemble,281,3,0.025154120860046612,6.766458511352539,,,,ims,['5'],['4']
