bias,fit_diagnostics,fit_groups,mae,method,n,n_shots,normalized_rmse,outer_holdout,raw_rmse,seed,source,test_groups,validation_groups
-6.877420902252197,,['3'],6.877420902252197,trend_residual_scratch_affine_calibrated_ensemble,281,1,0.028315030183309713,1,7.276962757110596,,femto,['1'],['2']
-6.208804607391357,,['3'],6.347228050231934,ridge_calibrated_scratch_ensemble,281,1,0.027974729871935416,1,7.189505577087402,,femto,['1'],['2']
-5.588758945465088,,['3'],5.7191290855407715,trend_residual_frozen_ensemble,281,1,0.02518039918595251,1,6.471362590789795,,femto,['1'],['2']
-6.208804607391357,,['3'],6.347228050231934,trend_residual_scratch_ensemble,281,1,0.027974729871935416,1,7.189505577087402,,femto,['1'],['2']
-6.0642523765563965,,['3'],6.1299543380737305,ridge_ensemble,281,1,0.027157961626461044,1,6.979596138000488,,femto,['1'],['2']
-8.6637601852417,,['3'],8.6637601852417,trend_linear_ensemble,281,1,0.039312314430563364,1,10.103264808654785,,femto,['1'],['2']
-9.496919631958008,,['3'],9.63896369934082,trend_quadratic_ensemble,281,1,0.042898467542596366,1,11.024906158447266,,femto,['1'],['2']
-10.436098098754883,,['3'],10.436098098754883,trend_huber_ensemble,281,1,0.04335568943840057,1,11.142412185668945,,femto,['1'],['2']
-6.0642523765563965,,['3'],6.1299543380737305,trend_prior_ensemble,281,1,0.027157961626461044,1,6.979596138000488,,femto,['1'],['2']
-1.9667556285858154,"{'best_validation_normalized_rmse': 0.03917944058775902, 'best_epoch': 3, 'epochs_ran': 16, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 12042, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'fit_only_inner_group_loo', 'blend_selection_raw_rmse': 4.430080997168088}","['3', '4']",4.6312971115112305,trend_residual_transfer,281,2,0.0222352756345404,1,6.025759696960449,42,femto,['1'],['2']
-3.623120069503784,"{'best_validation_normalized_rmse': 0.0497581884264946, 'best_epoch': 6, 'epochs_ran': 21, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 12123, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'fit_only_inner_group_loo', 'blend_selection_raw_rmse': 4.430080997168088}","['3', '4']",4.226971626281738,trend_residual_transfer,281,2,0.020914579229601195,1,5.667850971221924,123,femto,['1'],['2']
-2.436803102493286,"{'best_validation_normalized_rmse': 0.05119768902659416, 'best_epoch': 3, 'epochs_ran': 16, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 12456, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'fit_only_inner_group_loo', 'blend_selection_raw_rmse': 4.430080997168088}","['3', '4']",3.3943326473236084,trend_residual_transfer,281,2,0.019331696288612057,1,5.238889694213867,456,femto,['1'],['2']
6.866995334625244,"{'best_validation_normalized_rmse': 0.026019714772701263, 'best_epoch': 3, 'epochs_ran': 18, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 14026, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'fit_only_inner_group_loo', 'blend_selection_raw_rmse': 4.430080997168088}","['3', '4']",8.180689811706543,trend_residual_transfer,281,2,0.03315107057015394,1,8.983940124511719,2026,femto,['1'],['2']
-4.129011154174805,"{'best_validation_normalized_rmse': 0.051579155027866364, 'best_epoch': 7, 'epochs_ran': 22, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 2, 'warmup_frozen_epochs': 2, 'encoder_unfreeze_epoch': 3, 'encoder_anchor_weight': 0.02, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': True, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 15407, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'fit_only_inner_group_loo', 'blend_selection_raw_rmse': 4.430080997168088}","['3', '4']",4.5310773849487305,trend_residual_transfer,281,2,0.0242137363476067,1,6.561922550201416,3407,femto,['1'],['2']
-1.426021695137024,"{'best_validation_normalized_rmse': 0.036912914365530014, 'best_epoch': 1, 'epochs_ran': 16, 'frozen_encoder': True, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': None, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': False, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': False, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 12042, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'fit_only_inner_group_loo', 'blend_selection_raw_rmse': 3.554594984971706}","['3', '4']",5.3286848068237305,trend_residual_frozen,281,2,0.024927297641430392,1,6.755297660827637,42,femto,['1'],['2']
-1.725541591644287,"{'best_validation_normalized_rmse': 0.04254193603992462, 'best_epoch': 7, 'epochs_ran': 22, 'frozen_encoder': True, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': None, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': False, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': False, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 12123, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'fit_only_inner_group_loo', 'blend_selection_raw_rmse': 3.554594984971706}","['3', '4']",3.1813535690307617,trend_residual_frozen,281,2,0.01664179981414682,1,4.509927749633789,123,femto,['1'],['2']
-0.10692447423934937,"{'best_validation_normalized_rmse': 0.043762028217315674, 'best_epoch': 1, 'epochs_ran': 16, 'frozen_encoder': True, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': None, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': False, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': False, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 12456, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'steps': 0, 'source_samples': 0, 'target_fit_samples': 0, 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'fit_only_inner_group_loo', 'blend_selection_raw_rmse': 3.554594984971706}","['3', '4']",3.4484610557556152,trend_residual_frozen,281,2,0.017560971179131652,1,4.759023189544678,456,femto,['1'],['2']
